O*NET-SOC Code	Alternate Title	Short Title	Source(s)
11-1011.00	Aeronautics Commission Director	n/a	08
11-1011.00	Agency Owner	n/a	10
11-1011.00	Agricultural Services Director	n/a	08
11-1011.00	Arts and Humanities Council Director	n/a	08
11-1011.00	Bank President	n/a	09
11-1011.00	Bureau Chief	n/a	04,06
11-1011.00	Business Development Executive (BD Executive)	BD Executive	09
11-1011.00	Business Development Officer (BD Officer)	BD Officer	09
11-1011.00	Business Enterprise Officer	n/a	08
11-1011.00	Business Executive	n/a	09
11-1011.00	CEO (Chief Executive Officer)	CEO	02,04,08,10
11-1011.00	Chief Administrative Officer (CAO)	CAO	09
11-1011.00	Chief Diversity Officer (CDO)	CDO	02
11-1011.00	Chief Financial Officer (CFO)	CFO	01,02,04,08
11-1011.00	Chief Information Officer (CIO)	CIO	02,08
11-1011.00	Chief Information Security Officer (CISO)	CISO	01
11-1011.00	Chief Innovation Officer (CINO)	CINO	08
11-1011.00	Chief Nursing Officer (CNO)	CNO	02
11-1011.00	Chief Operating Officer (COO)	COO	02,04,08,10
11-1011.00	Chief Technical Officer (CTO)	CTO	02,08
11-1011.00	Chief Technology Officer (CTO)	CTO	01
11-1011.00	Chief Warden	n/a	08
11-1011.00	Commissioner	n/a	04,06
11-1011.00	Consumer Affairs Director	n/a	08
11-1011.00	Corporate Executive	n/a	09
11-1011.00	Correctional Agency Director	n/a	08
11-1011.00	County Commissioner	n/a	04,06
11-1011.00	County Executive Director	n/a	10
11-1011.00	Deputy District Customs Director	n/a	08
11-1011.00	Deputy Insurance Commissioner	n/a	08
11-1011.00	District Customs Director	n/a	08
11-1011.00	Employment Research and Planning Director	n/a	08
11-1011.00	Employment Services Director	n/a	08
11-1011.00	Executive Director	n/a	02,08,10
11-1011.00	Executive Officer	n/a	02,10
11-1011.00	Executive Vice President (EVP)	EVP	02,08
11-1011.00	Finance Vice President (Finance VP)	Finance VP	02,08
11-1011.00	Financial Institution President	n/a	08
11-1011.00	Financial Responsibility Division Director	n/a	08
11-1011.00	Foundation Director	n/a	09
11-1011.00	Government Service Executive	n/a	04,08
11-1011.00	Health Commissioner	n/a	04,06
11-1011.00	Highway Commissioner	n/a	04,06
11-1011.00	Hospital CFO (Hospital Chief Financial Officer)	Hospital CFO	10
11-1011.00	Institution Director	n/a	08
11-1011.00	Insurance Commissioner	n/a	04,06
11-1011.00	Internal Revenue Commissioner	n/a	04,06
11-1011.00	Labor Commissioner	n/a	04,06
11-1011.00	Labor Standards Director	n/a	08
11-1011.00	Law Enforcement Director	n/a	08
11-1011.00	Licensing and Registration Director	n/a	08
11-1011.00	Liquor Commissioner	n/a	04,06
11-1011.00	Liquor Stores and Agencies Supervisor	n/a	08
11-1011.00	Media Executive	n/a	09
11-1011.00	Medical Facilities Section Director	n/a	08
11-1011.00	Music Executive	n/a	09
11-1011.00	Nonprofit Director	n/a	09
11-1011.00	Operations Vice President (Operations VP)	Operations VP	02,08
11-1011.00	Police Commissioner	n/a	08
11-1011.00	President	n/a	02,09,10
11-1011.00	Private Sector Executive	n/a	08
11-1011.00	Public Health Director	n/a	09
11-1011.00	Public Works Commissioner	n/a	08
11-1011.00	Public Works Director	n/a	09
11-1011.00	Railroad Commissioner	n/a	04,06
11-1011.00	Regulatory Agency Director	n/a	08
11-1011.00	Relocation Commissioner	n/a	08
11-1011.00	Road Commissioner	n/a	04,06
11-1011.00	Safety Council Director	n/a	08
11-1011.00	State Assessed Properties Director	n/a	08
11-1011.00	Tax Commissioner	n/a	04,06
11-1011.00	Unemployment Insurance Director	n/a	08
11-1011.00	Water Commissioner	n/a	04,06
11-1011.00	Welfare Director	n/a	08
11-1011.03	Chief Environmental Commitment Officer (CECO)	CECO	08
11-1011.03	Chief Green Officer (CGO)	CGO	08
11-1011.03	Chief Sustainability Officer (CSO)	CSO	02
11-1011.03	Climate Change and Sustainability Manager	n/a	10
11-1011.03	Corporate Sustainability Manager	n/a	10
11-1011.03	Corporate Sustainability Process Manager	n/a	02
11-1011.03	CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President)	CSR and Sustainability VP	02
11-1011.03	Energy and Sustainability Manager	n/a	02,10
11-1011.03	Energy Sustainability Manager	n/a	10
11-1011.03	Energy, Sustainability, and Infrastructure Manager	n/a	10
11-1011.03	Environmental and Sustainability Manager	n/a	10
11-1011.03	Environmental Sustainability Manager	n/a	10
11-1011.03	ESG Manager (Environmental, Social, and Corporate Governance Manager)	ESG Manager	10
11-1011.03	Global Sustainability Manager	n/a	10
11-1011.03	Sustainability Chancellor	n/a	02
11-1011.03	Sustainability Chief	n/a	02
11-1011.03	Sustainability Director	n/a	02,08
11-1011.03	Sustainability Energy Manager	n/a	10
11-1011.03	Sustainability Initiatives Vice President (Sustainability Initiatives VP)	Sustainability Initiatives VP	02
11-1011.03	Sustainability Manager	n/a	02,08,10
11-1011.03	Sustainability Programs Director	n/a	02
11-1011.03	Sustainability Reports Director	n/a	10
11-1011.03	Sustainability Research and Advocacy Director	n/a	08
11-1011.03	Sustainability Strategy Manager	n/a	10
11-1011.03	Sustainable Design Director	n/a	02,08
11-1021.00	Area Manager	n/a	02,10
11-1021.00	Business Coordinator	n/a	09
11-1021.00	Business Manager	n/a	02,10
11-1021.00	Center Manager	n/a	02
11-1021.00	Chief Administrative Officer (CAO)	CAO	09
11-1021.00	Corporate Manager	n/a	09
11-1021.00	Department Manager	n/a	02
11-1021.00	Department Store General Manager (Dept Store GM)	Dept Store GM	04
11-1021.00	Department Store Manager (Dept Store Manager)	Dept Store Manager	04,06,08
11-1021.00	District Commercial Superintendent	n/a	04,06
11-1021.00	District Manager	n/a	01,02,04,06,10
11-1021.00	District Plant Superintendent	n/a	04,06
11-1021.00	District Traffic Chief	n/a	04,06
11-1021.00	District Wire Chief	n/a	04,06
11-1021.00	Division Toll Wire Chief	n/a	04,06
11-1021.00	Division Traffic Superintendent	n/a	04,06
11-1021.00	Drilling and Production Superintendent	n/a	04,06
11-1021.00	Electrical Superintendent	n/a	04,06
11-1021.00	Equipment Maintenance Superintendent	n/a	04,06
11-1021.00	Field Party Manager	n/a	04,06
11-1021.00	Fish and Game Club Manager	n/a	08
11-1021.00	General Manager (GM)	GM	02,04,10
11-1021.00	General Superintendent	n/a	04,06
11-1021.00	Golf and Operations Manager	n/a	08
11-1021.00	Golf Course Manager	n/a	09
11-1021.00	Gym Manager	n/a	09
11-1021.00	Installation Superintendent	n/a	04
11-1021.00	IO Manager (Industrial Organization Manager)	IO Manager	04,06,08
11-1021.00	Laundry Superintendent	n/a	04,06
11-1021.00	Line Construction Superintendent	n/a	04,06
11-1021.00	Manufacturing Operations Manager	n/a	02,04,09
11-1021.00	Mine Superintendent	n/a	04,06
11-1021.00	Movie Theater Manager	n/a	08
11-1021.00	Newspaper Manager	n/a	09
11-1021.00	Nonprofit Manager	n/a	09
11-1021.00	Office Manager	n/a	02
11-1021.00	Offshoring Manager	n/a	08
11-1021.00	Operational Risk Manager	n/a	04
11-1021.00	Operations Director	n/a	02,10
11-1021.00	Operations General Manager (Operations GM)	Operations GM	02
11-1021.00	Operations Manager	n/a	02,04,10
11-1021.00	Operations Supervisor	n/a	04,06,10
11-1021.00	Park Superintendent	n/a	04,06
11-1021.00	Parks and Recreation Manager	n/a	09
11-1021.00	Plant Superintendent	n/a	02
11-1021.00	Print Production Manager	n/a	08
11-1021.00	Printing Manager	n/a	09
11-1021.00	Prison Warden	n/a	09
11-1021.00	Program Director	n/a	03
11-1021.00	Program Manager	n/a	08
11-1021.00	Public Works Director	n/a	09
11-1021.00	Publication Director	n/a	04,06
11-1021.00	Refinery Superintendent	n/a	04,06
11-1021.00	Revenue Director	n/a	04,06
11-1021.00	Revenue Manager	n/a	09
11-1021.00	Roads Superintendent	n/a	04,06
11-1021.00	Shelter Director	n/a	08
11-1021.00	Shop Superintendent	n/a	06
